state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles
Alaska,3,2280.0,345.0,4.0,580.0,"Jan 3, 1959",731545
Arizona,2,1577.0,237.0,6.0,80.0,"Feb 14, 1912",7278717
California,21,25948.0,2738.0,81.0,587.0,"Sep 9, 1850",39512223
Colorado,22,43682.0,3258.0,74.0,428.0,"Aug 1, 1876",5758736
Connecticut,5,358.0,353.0,10.0,256.0,"Jan 9, 1788",3565278
Idaho,12,16396.0,1136.0,27.0,415.0,"Jul 3, 1890",1787065
Illinois,4,191.0,221.0,6.0,191.0,"Dec 3, 1818",12671821
Indiana,2,165.0,157.0,4.0,165.0,"Dec 11, 1816",6732219
Iowa,3,140.0,100.0,5.0,140.0,"Dec 28, 1846",3155070
Maine,9,3216.0,865.0,17.0,388.0,"Mar 15, 1820",1344212
Maryland,1,172.0,121.0,3.0,118.0,"Apr 28, 1788",6045680
Massachusetts,11,1166.0,671.0,18.0,583.0,"Feb 6, 1788",6892503
Michigan,28,4406.0,2389.0,63.0,1946.0,"Jan 26, 1837",9986857
Minnesota,14,1560.0,1490.0,29.0,1020.0,"May 11, 1858",5639632
Missouri,2,60.0,69.0,2.0,47.0,"Aug 10, 1821",6137428
Montana,12,21410.0,951.0,27.0,710.0,"Nov 8, 1889",1068778
Nevada,4,2110.0,415.0,9.0,0.0,"Oct 31, 1864",3080156
New Hampshire,16,3427.0,1847.0,43.0,376.0,"Jun 21, 1788",1359711
New Jersey,2,190.0,170.0,4.0,181.0,"Dec 18, 1787",8882190
New Mexico,9,5223.0,966.0,18.0,50.0,"Jan 6, 1912",2096829
New York,33,5514.0,2384.0,72.0,2836.0,"Jul 26, 1788",19453561
North Carolina,6,370.0,506.0,9.0,335.0,"Nov 21, 1789",10488084
Ohio,5,421.0,489.0,12.0,421.0,"Mar 1, 1803",11689100
Oregon,10,11774.0,1180.0,22.0,1127.0,"Feb 14, 1859",4217737
Pennsylvania,19,1888.0,1404.0,47.0,1528.0,"Dec 12, 1787",12801989
Rhode Island,1,30.0,100.0,1.0,30.0,"May 29, 1790",1059361
South Dakota,2,950.0,183.0,3.0,0.0,"Nov 2, 1889",884659
Tennessee,1,0.0,83.0,1.0,0.0,"Jun 1, 1796",6829174
Utah,13,30508.0,1544.0,26.0,642.0,"Jan 4, 1896",3205958
Vermont,15,7239.0,1777.0,50.0,50.0,"Mar 4, 1791",623989
Virginia,4,269.0,366.0,4.0,135.0,"Jun 25, 1788",8535519
Washington,10,15330.0,1022.0,21.0,1997.0,"Nov 11, 1889",7614893
West Virginia,4,542.0,342.0,9.0,187.0,"Jun 20, 1863",1792147
Wisconsin,15,1750.0,1519.0,40.0,1065.0,"May 29, 1848",5822434
Wyoming,8,6523.0,716.0,14.0,110.0,"Jul 10, 1890",578759
